time,Flow,RR,Inspiration
17.13,40.797,204,1
17.14,105.097,204,1
17.15,148.363,204,1
17.16,168.654,204,1
17.17,177.484,204,1
17.18,182.069,204,1
17.19,180.434,204,1
17.2,176.945,204,1
17.21,169.915,204,1
17.22,137.528,204,1
17.23,67.838,204,1
17.24,0.698,204,1
17.25,-10.36,204,0
17.26,-6.091,204,0
17.27,-5.728,204,0
17.28,-5.743,204,0
17.29,-5.743,204,0
17.3,-5.733,204,0
17.31,-5.733,204,0
17.32,-5.714,204,0
17.33,-5.724,204,0
17.34,-5.69,204,0
17.35,-5.714,204,0
17.36,-5.719,204,0
17.37,-5.7,204,0
17.38,-6.696,204,0
17.39,-8.617,204,0
17.4,-10.162,207,0
17.41,26.804,207,1
17.42,89.813,207,1
17.43,133.511,207,1
17.44,154.569,207,1
17.45,164.059,207,1
17.46,167.836,207,1
17.47,169.299,207,1
17.48,169.123,207,1
17.49,166.029,207,1
17.5,155.752,207,1
17.51,120.662,207,1
17.52,50.662,207,1
17.53,-6.675,207,0
17.54,-8.246,207,0
17.55,-5.767,207,0
17.56,-5.733,207,0
17.57,-5.724,207,0
17.58,-5.733,207,0
17.59,-5.724,207,0
17.6,-5.733,207,0
17.61,-5.728,207,0
17.62,-5.733,207,0
17.63,-5.709,207,0
17.64,-5.724,207,0
17.65,-5.704,207,0
17.66,-6.003,207,0
17.67,-7.39,207,0
17.68,-9.751,207,0
17.69,0.27,210,1
17.7,61.728,210,1
17.71,116.66,210,1
17.72,146.412,210,1
17.73,158.413,210,1
17.74,161.153,210,1
17.75,159.295,210,1
17.76,157.675,210,1
17.77,159.381,210,1
17.78,162.819,210,1
17.79,150.354,210,1
17.8,98.858,210,1
17.81,23.665,210,1
17.82,-10.411,210,0
17.83,-6.408,210,0
17.84,-5.776,210,0
17.85,-5.743,210,0
17.86,-5.738,210,0
17.87,-5.738,210,0
17.88,-5.719,210,0
17.89,-5.738,210,0
17.9,-5.709,210,0
17.91,-5.7,210,0
17.92,-5.704,210,0
17.93,-5.724,210,0
17.94,-5.709,210,0
17.95,-7.245,210,0
17.96,-8.961,210,0
17.97,-8.931,210,0
17.98,39.954,210,1
17.99,103.948,210,1
18,144.8,210,1
18.01,165.159,210,1
18.02,173.191,210,1
18.03,173.992,210,1
18.04,173.428,210,1
18.05,171.653,210,1
18.06,165.826,210,1
18.07,152.72,210,1
18.08,110.689,210,1
18.09,39.535,210,1
18.1,-8.491,210,0
18.11,-7.265,210,0
18.12,-5.757,210,0
18.13,-5.728,210,0
18.14,-5.724,210,0
18.15,-5.724,210,0
18.16,-5.724,210,0
18.17,-5.738,210,0
18.18,-5.728,210,0
18.19,-5.738,210,0
18.2,-5.709,210,0
18.21,-5.709,210,0
18.22,-5.695,210,0
18.23,-5.714,210,0
18.24,-7.77,210,0
18.25,-9.037,212,0
18.26,42.407,212,1
18.27,109.848,212,1
18.28,154.232,212,1
18.29,173.161,212,1
18.3,178.054,212,1
18.31,176.885,212,1
18.32,175.57,212,1
18.33,174.944,212,1
18.34,168.596,212,1
18.35,141.196,212,1
18.36,78.765,212,1
18.37,7.774,212,1
18.38,-10.53,212,0
18.39,-6.544,212,0
18.4,-5.767,212,0
18.41,-5.733,212,0
18.42,-5.743,212,0
18.43,-5.743,212,0
18.44,-5.704,212,0
18.45,-5.738,212,0
18.46,-5.724,212,0
18.47,-5.709,212,0
18.48,-5.7,212,0
18.49,-5.695,212,0
18.5,-5.724,212,0
18.51,-5.695,212,0
18.52,-8.829,212,0
18.53,0.625,214,1
18.54,71.006,214,1
18.55,133.38,214,1
18.56,166.64,214,1
18.57,179.8,214,1
18.58,183.834,214,1
18.59,184.902,214,1
18.6,181.402,214,1
18.61,167.806,214,1
18.62,128.696,214,1
18.63,56.707,214,1
18.64,-4.199,214,0
18.65,-10.03,214,0
18.66,-6.178,214,0
18.67,-5.738,214,0
18.68,-5.728,214,0
18.69,-5.728,214,0
18.7,-5.728,214,0
18.71,-5.733,214,0
18.72,-5.724,214,0
18.73,-5.714,214,0
18.74,-5.738,214,0
18.75,-5.709,214,0
18.76,-5.719,214,0
18.77,-5.7,214,0
18.78,-6.026,214,0
18.79,-8.553,214,0
18.8,-7.429,216,0
18.81,47.172,216,1
18.82,110.088,216,1
18.83,148.363,216,1
18.84,167.485,216,1
18.85,174.646,216,1
18.86,176.137,216,1
18.87,177.904,216,1
