label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,2.20174,0.78778,Trachea,16.5318,12.4128,19.6731,-0.169684,-0.203612,-0.964235
2,1,4.1257,0.939932,RMB,15.7472,11.6329,16.7171,-0.289793,-0.269409,-0.918389
3,1,6.17992,0.663422,LMB,17.0174,11.6937,15.6366,0.217624,-0.160196,-0.962796
4,2,1.72244,0.542418,CrRMB,14.3509,10.755,14.8084,-0.927232,-0.374121,-0.0165466
5,2,1.26677,1.09018,RMB,15.0326,10.9745,14.2086,-0.184327,-0.162145,-0.969398
6,3,1.37092,0.420704,,18.3063,10.9044,12.7187,0.899324,-0.429274,0.0833015
7,3,1.48589,0.884865,LMB,17.9514,11.0353,11.9857,0.352046,-0.220003,-0.90976
8,4,0.996396,0.294259,,13.4076,10.0919,15.1273,-0.290547,-0.684306,0.66881
9,4,0.95866,0.400881,CrRMB,13.1367,10.4515,14.5561,-0.867149,0.0389086,-0.496526
10,5,1.02867,0.81651,MiRMB,14.7945,10.3721,13.585,-0.236033,-0.971568,-0.0185679
11,5,0.130642,1.08601,RMB,14.8973,10.8625,13.5327,-0.285514,-0.143144,-0.947624
12,6,0.510041,0.26046,,19.0675,10.5635,12.9805,0.5676,-0.183123,0.802681
13,6,0.36918,0.322489,,19.0863,10.6055,12.6901,0.885477,-0.0251916,-0.464001
14,7,1.28816,0.444572,,18.5866,10.3908,11.1003,0.580054,-0.746851,-0.325194
15,7,0.454916,0.751179,LMB,18.3017,10.8718,11.1003,0.389963,0,-0.92083
16,8,0.585744,0.238892,,13.2955,9.69492,15.7461,0.111482,-0.191347,0.975171
17,8,0.675482,0.2275,,13.062,9.4801,15.4795,-0.594687,-0.801976,0.0564046
18,9,0.632804,0.243126,,12.7864,10.7784,14.2895,0.206699,0.974235,-0.0902337
19,9,0.561265,0.380059,CrRMB,12.4829,10.4048,14.1848,-0.848617,-0.232867,-0.474997
20,10,0.321655,0.51726,,14.6031,9.72761,13.5755,-0.435562,-0.900159,0
21,10,1.85307,0.535036,MiRMB,14.3602,9.09249,13.1852,-0.33771,-0.841727,-0.421246
22,11,2.57784,0.656494,AcRMB,15.1868,10.4655,12.2808,0.239114,-0.300716,-0.923252
23,11,2.41049,0.9261,CaRMB,14.3135,11.0445,12.4236,-0.468867,0.158847,-0.868868
24,12,0.269199,0.205759,,19.2777,10.5448,13.2994,0.485886,0.208395,0.848815
25,12,0.396258,0.131645,,19.1469,10.33,13.1947,-0.329834,-0.942821,0.0479487
26,13,0.690315,0.230941,,19.4692,10.3347,12.5949,0.63594,-0.771242,-0.0276688
27,13,0.550305,0.235671,,19.4505,10.7503,12.4903,0.729776,0.543154,-0.415223
28,14,0.564772,0.206304,,18.7593,9.71827,10.8385,-0.711259,-0.678044,-0.185385
29,14,0.609836,0.303077,,19.2217,9.79299,10.7862,0.857608,-0.38289,-0.34337
30,15,1.68735,0.560293,LMB,18.5819,10.7597,10.0769,0.226983,-0.132871,-0.964792
31,15,0.315097,0.639603,,18.4838,10.8998,10.7671,0.592833,0.177722,-0.78547
32,16,0.666896,0.208607,,13.3935,9.39604,16.2507,0.196133,-0.728269,0.656625
33,16,0.394061,0.146626,,13.3001,9.81634,16.1126,-0.142109,0.900674,0.410598
34,17,0.352634,0.180173,,12.7024,9.1999,15.5747,-0.900368,-0.0529717,0.431893
35,17,0.686957,0.157591,,12.8238,8.86833,15.4795,-0.108741,-0.992522,-0.0554623
36,18,0.509946,0.114977,,12.9686,11.2501,14.418,0.457893,0.641048,0.615948
37,18,0.321466,0.128963,,12.9078,11.2034,14.1658,0.348714,0.726358,-0.592286
38,19,0.775526,0.194121,,12.0112,10.4468,14.3419,-0.602172,0.276973,0.748782
39,19,0.277668,0.382599,CrRMB,12.1373,10.288,13.9801,-0.77359,-0.370228,-0.514285
40,21,0.835383,0.474011,MiRMB,13.9306,7.91565,12.7378,-0.279513,-0.950343,-0.136823
41,21,0.532573,0.322051,,14.2201,8.27991,12.595,0.648926,-0.122763,-0.750883
42,22,1.35133,0.453303,AcRMB,15.6538,9.53616,10.7196,0.235027,-0.801785,-0.549457
43,22,0.935126,0.307442,,15.4203,10.2087,10.6481,-0.159764,0.279642,-0.946718
