label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,3.63842,0.699746,Trachea,15.9527,10.1152,20.0967,-0.0616201,0.0872796,-0.994276
2,1,6.37886,0.647748,LMB,16.6812,11.0212,15.3034,0.263558,0.234274,-0.935763
3,1,3.81397,0.774559,RMB,15.3923,10.6569,16.4744,-0.235083,0.200814,-0.951004
4,2,1.47766,0.367484,,18.0775,11.4135,12.6521,0.752205,-0.480354,0.451052
5,2,1.12556,0.868186,LMB,17.8113,11.8478,11.8428,0.514502,0.141086,-0.845803
6,3,1.70015,0.59665,CrRMB,14.1221,10.9559,14.4609,-0.966916,-0.0988734,-0.235156
7,3,1.71919,0.980681,RMB,14.8086,11.0912,13.8135,-0.157574,0.0597377,-0.985699
8,4,0.514544,0.303066,,18.8388,11.0866,13.1376,0.798571,0.108834,0.59198
9,4,0.613193,0.308481,,18.8948,10.9465,12.871,0.85291,-0.365627,-0.37264
10,5,1.10105,0.486674,,18.3811,11.6049,11.0194,0.508968,-0.58535,-0.631124
11,5,0.131922,0.765037,LMB,18.1243,11.9506,11.3097,0.353993,0.353993,-0.865666
12,6,0.992497,0.350334,,12.9872,10.5122,14.399,-0.630531,-0.724637,0.278086
13,6,1.02116,0.478033,CrRMB,12.9219,10.9979,13.942,-0.740826,0.246877,-0.624683
14,7,3.48379,0.588898,MiRMB,13.9866,9.62486,12.4569,-0.394111,-0.871315,-0.292382
15,7,0.0162814,1.016,RMB,14.6778,11.1473,12.9615,0.571159,0.577367,-0.583459
16,8,0.54674,0.19211,,19.119,10.9932,13.5231,0.273439,-0.444086,0.85324
17,8,0.442255,0.170322,,19.1236,11.3201,13.3089,0.359065,0.929328,0.0861499
18,9,0.355487,0.279954,,19.3104,10.7597,12.7092,0.866982,-0.420268,-0.2678
19,9,0.556718,0.165146,,19.0489,10.6149,12.6235,-0.385832,-0.78855,-0.478877
20,10,1.02693,0.292937,,19.1143,11.1707,10.4577,0.882242,-0.218223,-0.417166
21,10,0.48963,0.232269,,18.5632,11.0819,10.5719,-0.400714,-0.820211,-0.408267
22,11,1.00196,0.371472,,18.2877,12.4503,11.3192,0.279652,0.950839,0.133039
23,11,1.53453,0.578351,LMB,18.3671,12.1047,10.5291,0.28608,0.17041,-0.942931
24,12,0.471348,0.2498,,12.7024,10.1339,14.7702,0.11902,-0.0793475,0.989716
25,12,0.865016,0.235883,,12.3661,9.85371,14.4846,-0.712588,-0.691063,-0.121038
26,13,0.718864,0.241099,,12.6277,11.4602,13.7183,0.233842,0.935503,0.264862
27,13,0.704315,0.407244,CrRMB,12.2867,11.1613,13.3851,-0.729362,0.106202,-0.675834
28,14,0.708978,0.250109,,13.2394,7.92032,12.2427,-0.171232,-0.526955,0.832465
29,14,0.0905458,0.436857,MiRMB,13.2908,8.06976,11.9238,-0.206532,-0.825212,-0.525709
30,15,2.58861,0.565326,AcRMB,15.0373,10.8765,11.7429,0.27424,-0.212894,-0.9378
31,15,2.55195,0.874143,CaRMB,14.192,11.549,11.8476,-0.384294,0.311095,-0.869217
32,16,0.673157,0.156474,,19.3385,10.643,13.9563,0.430062,-0.679932,0.593919
33,16,0.631688,0.127559,,19.1237,10.9745,14.0468,-0.221788,0.32516,0.919283
34,17,0.545125,0.116478,,19.4458,11.5256,13.4517,0.89099,0,0.454023
35,17,0.233685,0.157189,,19.1983,11.6424,13.328,-0.0397901,0.999208,0
36,18,1.15239,0.251328,,19.8101,10.232,12.5759,0.599796,-0.786208,-0.148734
37,18,0.668923,0.172879,,19.7027,10.8952,12.5569,0.712191,0.628323,-0.313041
38,19,0.0132228,0.116753,,18.9368,10.3907,12.4902,-0.710847,-0.703346,0
39,19,0.0666834,0.105924,,18.9415,10.372,12.4664,0,-0.700331,-0.713818
40,20,0.993114,0.192844,,19.9596,11.3622,10.2673,0.789939,0.611309,0.0479298
41,20,0.515892,0.271226,,19.7634,10.9278,10.1388,0.760234,-0.507084,-0.406092
42,21,0.411687,0.127439,,18.3951,10.7364,10.6005,-0.340303,-0.703202,0.62426
43,21,0.369971,0.149418,,18.3764,10.825,10.3197,-0.479493,-0.302996,-0.823577
44,22,0.312921,0.160672,,18.5632,13.0013,11.3621,0.865399,0.477436,-0.152114
45,22,0.0466393,0.179447,,18.4138,12.9453,11.3859,-0.60035,0.799737,0
46,23,0.865626,0.313823,,18.6379,12.6651,9.79609,0.118644,0.992692,-0.0220652
47,23,0.747894,0.521002,LMB,18.6753,12.2681,9.44384,0.2372,0.0874457,-0.967517
48,24,1.06287,0.208193,,12.7584,9.71826,15.3558,0.0526871,-0.746918,0.662825
49,24,0.44131,0.165795,,12.7164,10.2973,15.1273,-0.0634471,0.825496,0.560831
50,25,0.347877,0.152945,,11.8898,9.53147,14.4704,-0.966436,-0.134244,0.219044
51,25,0.486858,0.153699,,12.0392,9.32599,14.3514,-0.0768197,-0.940028,-0.332334
52,26,0.327314,0.118882,,12.7211,11.8758,13.9563,0.0571306,0.485162,0.872556
53,26,0.402097,0.119949,,12.8331,11.9318,13.7279,0.603834,0.673717,-0.426016
54,27,0.843271,0.282226,,11.8571,11.5115,12.9234,-0.409832,0.741992,-0.530553
55,27,0.526215,0.290194,,11.8384,11.0399,13.0615,-0.727838,-0.603556,-0.325534
56,28,0.474908,0.129266,,13.0433,7.56073,12.6283,-0.570428,-0.727678,0.380917
57,28,0.509487,0.12117,,13.1881,7.85494,12.7615,0.0367029,0.476636,0.878334
58,29,0.915003,0.412236,MiRMB,13.2394,7.58408,11.819,-0.0918025,-0.979931,-0.176939
59,29,0.683323,0.253095,,13.0806,8.12113,11.6382,-0.587716,0.259701,-0.766254
60,30,1.03949,0.514373,AcRMB,15.5557,10.2506,10.1816,0.314482,-0.673889,-0.668561
61,30,1.08238,0.25096,,15.3175,10.8811,10.0722,-0.138122,0.51775,-0.844309
62,31,0.488548,0.792754,CaRMB,13.5943,11.9599,10.5195,-0.43967,0.0573125,-0.896329
63,31,1.01912,0.484526,,13.6504,12.4409,10.848,-0.100773,0.971425,0.214892
64,32,0.157314,0.14964,,19.5019,10.3767,14.2229,0.237737,-0.474844,0.847351
65,32,0.331645,0.0818361,,19.4925,10.2786,14.061,0.0563845,-0.816836,-0.574108
66,33,0.401005,0.08754,,19.0069,11.1192,14.5275,-0.232917,0.209722,0.949614
67,33,0.281837,0.078974,,18.9976,11.2033,14.3657,-0.39775,0.894845,0.202601
68,34,0.249529,0.0960378,,19.726,11.5723,13.685,0.299361,0.374305,0.877655
69,34,0.346706,0.0958257,,19.8428,11.4462,13.5755,0.888939,-0.458025,0
70,35,0.508868,0.105509,,19.1003,11.9272,13.4946,-0.367089,0.660682,0.654786
71,35,0.393972,0.132272,,19.2171,11.9412,13.2566,0.118535,0.92443,-0.362463
72,36,0.12736,0.269635,,20.2071,9.74162,12.4854,0.806371,-0.586687,-0.0745957
73,36,0.567567,0.15602,,19.9689,9.63421,12.3331,-0.658248,-0.510143,-0.553592
74,37,0.113218,0.139593,,19.9923,11.1287,12.457,0.907092,0.412482,0.0839133
75,37,0.308738,0.107756,,19.9129,11.1567,12.3094,-0.18171,0.332645,-0.92538
76,38,0.431074,0.0700292,,18.9788,10.2273,12.6283,0.216666,-0.736765,0.640494
77,38,0.194595,0.0847693,,18.8434,10.4141,12.4616,-0.911638,0.287775,-0.293431
78,39,0.513941,0.0687248,,18.8527,10.1199,12.3665,-0.34537,-0.890452,-0.296337
79,39,0.171127,0.0793504,,18.9976,10.33,12.3807,0.655074,-0.217962,-0.723443
80,40,0.0947315,0.158914,,20.3799,11.6844,10.3244,0.592189,0.393746,0.703048
81,40,0.167248,0.15007,,20.3799,11.7077,10.2244,0.335424,0.502246,-0.797019
82,41,0.0718531,0.250364,,19.9548,10.7643,10.0198,-0.129434,-0.908799,-0.39665
83,41,1.37938,0.243875,,20.5433,10.5495,9.76272,0.846468,-0.358857,-0.393337
84,42,0.378549,0.111718,,18.1569,10.5496,10.8052,-0.888131,-0.222166,0.402326
85,42,0.139367,0.128221,,18.3624,10.5402,10.7576,0.536702,-0.737623,0.409711
86,43,0.314431,0.116079,,18.1383,10.7923,10.1245,-0.950608,0.148521,-0.272556
87,43,0.205744,0.128477,,18.3204,10.7223,10.0817,0.317867,-0.453962,-0.832393
88,44,0.211807,0.138544,,18.736,13.1741,11.3526,0.353144,0.925842,0.134559
89,44,0.499168,0.121364,,18.9462,13.062,11.3098,0.991851,-0.0560931,-0.114389
90,45,0.400848,0.094688,,18.339,13.0573,11.5525,-0.303108,0.466012,0.831239
91,45,0.38027,0.108791,,18.2643,13.062,11.2954,-0.712385,0.51595,-0.475713
92,46,0.330413,0.137324,,18.5679,13.2067,9.78654,-0.734838,0.678243,0
93,46,0.483938,0.145742,,18.8574,13.2488,9.70564,0.694714,0.636858,-0.334341
94,47,0.992269,0.342002,,19.0675,12.086,8.75364,0.611829,-0.433048,-0.661917
95,47,0.585914,0.45644,LMB,18.6893,12.3382,8.80124,-0.254988,0.127492,-0.958503
96,48,0.0602606,0.202438,,12.8004,9.30264,15.7271,0.464647,-0.619962,0.632258
97,48,0.477102,0.130587,,12.5669,9.29797,15.7984,-0.920138,-0.0978816,0.379163
98,49,0.514453,0.110826,,12.8565,10.6476,15.37,0.599083,0.65351,0.462628
