time,Flow,RR,Inspiration
10.02,7.570866602,172,1
10.03,65.562856408,172,1
10.04,111.3401008,172,1
10.05,134.099295448,172,1
10.06,145.246804288,172,1
10.07,152.223187322,172,1
10.08,155.904072448,172,1
10.09,158.532476602,172,1
10.1,162.55972145,172,1
10.11,168.12780905,172,1
10.12,172.645741658,172,1
10.13,173.119603768,172,1
10.14,162.283630808,172,1
10.15,125.23448305,172,1
10.16,55.880620472,172,1
10.17,-6.374413312,172,0
10.18,-7.026201718,172,0
10.19,-5.638733312,172,0
10.2,-5.638733312,172,0
10.21,-5.62322979800001,172,0
10.22,-5.6077018,172,0
10.23,-5.62322979800001,172,0
10.24,-5.6077018,172,0
10.25,-5.62322979800001,172,0
10.26,-5.6077018,172,0
10.27,-5.6077018,172,0
10.28,-5.6077018,172,0
10.29,-5.592149318,172,0
10.3,-5.6077018,172,0
10.31,-5.6077018,172,0
10.32,-5.592149318,172,0
10.33,-5.6077018,172,0
10.34,-5.654212342,172,0
10.35,-7.283631398,172,0
10.36,-9.256657958,172,0
10.37,-10.171854632,171,0
10.38,16.105,170,1
10.39,67.714452778,170,1
10.4,106.294655032,170,1
10.41,125.6424832,170,1
10.42,134.267661632,170,1
10.43,140.222177752,170,1
10.44,144.2004688,170,1
10.45,150.620189978,170,1
10.46,157.351680128,170,1
10.47,162.743904298,170,1
10.48,165.611262008,170,1
10.49,165.147193498,170,1
10.5,153.296259338,170,1
10.51,114.528098522,170,1
10.52,43.154555962,170,1
10.53,-9.784780982,170,0
10.54,-6.13661375,170,0
10.55,-5.638733312,170,0
10.56,-5.638733312,170,0
10.57,-5.62322979800001,170,0
10.58,-5.6077018,170,0
10.59,-5.6077018,170,0
10.6,-5.62322979800001,170,0
10.61,-5.6077018,170,0
10.62,-5.6077018,170,0
10.63,-5.638733312,170,0
10.64,-5.592149318,170,0
10.65,-5.6077018,170,0
10.66,-5.6077018,170,0
10.67,-5.6077018,170,0
10.68,-5.62322979800001,170,0
10.69,-6.70435855,170,0
10.7,-7.929772502,170,0
10.71,-9.985578752,170,0
10.72,-3.18112,172,0
10.73,47.175436672,172,1
10.74,95.873055418,172,1
10.75,125.724156682,172,1
10.76,139.192883128,172,1
10.77,144.374613208,172,1
10.78,144.897634048,172,1
