label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
6,84.718,1.69166,5.63427,0.9725,0,9909.04,101575080,15.2771,9.20549,13.6555,12.037,18.5234,4.23072,13.7311,10.5482,16.8599
396,4.33162,1.13791,2.12123,0.8525,7.05459e-06,734.595,5193520,13.2077,9.19545,10.7444,11.3818,14.405,8.12448,10.6236,9.19632,12.2332
10,70.5863,1.73391,4.55276,1.1275,0,5315.66,84631480,6.66368,9.93431,13.7477,3.81888,9.63144,6.14016,13.6375,8.70128,16.9742
15,11.8557,1.7613,3.14849,1.2625,0,1012.85,14214688,15.2782,12.9209,12.1829,12.8045,17.8121,11.1946,14.2927,9.95792,13.7564
594,11.4545,0.903937,0.986257,0.7275,5.1919e-13,177.049,13733744,11.9422,14.565,6.78136,9.56592,13.4129,12.8794,16.6514,5.27408,7.93016
17,48.9123,1.16303,1.02551,1.0025,0,381.566,58644800,6.53797,9.97877,9.23734,3.3696,10.661,6.40224,13.3567,5.84528,12.8044
22,10.9266,1.06359,1.82581,0.7925,0,1106.32,13100808,9.15994,13.6464,13.5317,7.65648,11.129,10.9699,15.4534,12.2046,15.3367
218,56.0496,1.96115,4.36067,1.4875,0,2879,67202216,17.5237,10.0737,7.99765,12.9917,20.5078,6.21504,13.0759,4.72192,10.4815
28,80.6535,1.14464,2.09284,0.9225,0,3633.66,96701824,16.6618,9.0543,10.3638,12.4301,19.9836,4.17456,13.0198,7.27328,12.9377
1380,2.79966,0.791577,1.33857,0.6075,3.05494e-05,157.167,3356728,14.9836,6.81631,10.9002,13.9838,15.9775,5.93424,8.15256,9.9008,12.2522
33,4.30555,1.19949,1.2929,1.0425,0,238.296,5162264,8.98813,8.68361,10.2941,7.09488,10.6985,7.71264,10.3615,8.7584,12.119
230,9.32271,1.18502,1.56792,0.9425,0,265.798,11177728,7.21162,6.38642,11.8352,5.29776,8.97624,4.79232,8.19,10.5101,14.042
37,22.1987,0.823189,0.961445,0.6725,0,254.989,26615792,11.7024,12.2884,8.52189,8.66736,13.2818,10.8014,13.6001,5.10272,12.0238
38,82.8341,0.961488,0.985417,0.8175,0,1242.66,99316304,7.10201,11.9293,7.60771,3.29472,11.2788,7.52544,15.3598,3.44624,11.6049
1202,29.2885,1.0598,2.11451,0.7425,0,534.933,35116328,17.2498,12.7916,3.14114,14.0587,19.8338,10.5955,14.4799,0.64736,5.58824
1203,15.078,0.939979,1.59336,0.6875,0,470.815,18078152,14.8649,12.5204,3.88879,13.2538,16.3332,10.633,14.3676,1.35184,5.51208
46,12.7362,1.16957,2.116,0.9375,1.21043e-21,2809.1,15270440,6.83407,13.5669,13.1524,4.64256,8.92008,11.6438,16.0524,11.3098,14.9178
439,77.8826,1.00563,1.47659,0.8175,0,1099.79,93379512,7.24357,15.0811,5.55534,3.78144,10.7921,12.0557,18.149,0.79968,8.97736
1408,30.2929,0.780663,1.3735,0.6025,0,603.952,36320540,12.1607,13.77,3.74554,8.9856,13.5814,12.2429,15.9775,0.00952,7.64456
58,16.9244,2.47587,4.50649,1.7525,2.04473e-25,2479.97,20291992,16.646,12.7845,10.6482,13.9277,18.9727,11.2507,14.4799,9.2344,12.3284
1409,27.6411,0.710443,1.39941,0.5225,0,551.218,33141068,11.4235,16.085,2.27282,9.32256,13.4316,13.909,18.1865,0.00952,4.86472
1024,3.48263,1.4779,1.69035,1.1575,3.54052e-10,197.705,4175600,16.2034,11.69,4.97105,15.1445,17.6623,10.3334,13.207,3.94128,6.15944
253,7.04911,1.65227,3.10139,1.3575,3.12966e-09,1784.47,8451728,11.707,8.07074,9.51097,9.67824,13.0946,5.8032,9.65016,7.92064,10.8052
835,7.83898,0.963292,1.17976,0.7825,0,188.83,9398768,16.287,13.5846,5.97193,14.1523,18.4298,11.569,14.5922,4.87424,6.9972
64,17.3859,1.03405,1.78375,0.8175,0,1125.34,20845272,7.57797,8.46242,12.3986,5.69088,9.3132,5.8032,11.4847,9.84368,15.013
1229,3.26655,0.832826,1.29837,0.6175,0,167.188,3916528,13.9476,6.54848,9.75754,12.6547,15.21,4.60512,7.96536,8.52992,10.7862
72,13.8006,1.11692,5.97835,0.7875,0,4931.65,16546600,10.9252,9.93132,10.7002,8.83584,13.2818,7.15104,12.065,8.9488,12.4426
1040,11.4684,0.770084,1.37914,0.5675,0,398.505,13750304,10.1031,4.0903,10.5599,7.97472,12.7951,3.03264,6.07464,9.06304,12.9377
1041,3.373,0.951871,1.18445,0.7725,0,118.605,4044160,7.85923,4.69321,9.66934,6.85152,8.82648,3.63168,5.81256,8.45376,10.6338
78,16.5547,0.918879,1.56135,0.6925,1.58399e-33,368.119,19848776,10.644,14.7004,10.962,8.53632,12.533,13.0291,16.6702,9.55808,13.2042
657,37.6548,1.8028,3.10173,1.4025,0,2211.67,45147240,18.2746,11.1409,5.7274,14.9573,20.5452,8.19936,14.143,1.904,8.97736
851,4.67278,1.09225,1.39516,0.9025,0,163.9,5602560,9.6355,5.67572,9.9889,8.1432,11.597,4.8672,6.43032,8.79648,11.1289
274,9.50793,0.988836,0.968576,0.8175,2.62945e-20,394.877,11399808,9.7571,15.8005,8.75132,7.7688,11.8591,14.2646,17.3628,7.08288,10.0055
1630,10.0986,0.511405,1.61331,0.3375,0,555.165,12107992,15.5414,4.57728,10.9169,13.703,17.55,2.47104,6.61752,9.06304,12.4807
1631,4.18428,0.752504,1.306,0.5825,0,173.19,5016856,15.6173,6.34202,9.73581,14.171,17.3628,4.81104,7.87176,8.3776,12.0428
94,0.0487282,1.93707,6.25122,1.4275,0.325394,586.268,58424,8.03606,12.7833,12.0339,7.80624,8.24616,12.3926,13.1508,11.6715,12.2713
673,7.53692,1.0758,1.46921,0.8325,0,254.812,9036608,8.15388,5.14256,11.5131,5.65344,9.6876,3.78144,6.72984,10.2435,13.7754
1061,3.34999,1.2737,1.44051,1.0725,0,259.571,4016568,15.1607,7.81611,8.98943,13.9464,16.745,6.90768,8.86392,7.53984,10.1198
874,2.84403,1.10623,1.73778,0.8725,6.76758e-06,299.5,3409928,14.3249,7.98108,10.7296,13.3474,15.1538,7.03872,9.14472,9.65328,12.0618
1262,5.14288,1.23786,2.44285,0.9825,0,983.907,6166200,10.4117,14.6938,3.94153,9.04176,11.8404,13.3286,16.1647,2.6656,5.26456
119,9.47032,0.817087,0.924914,0.6475,9.05887e-20,194.95,11354712,14.5432,12.9553,8.7856,13.0291,16.614,11.6064,14.5174,7.616,10.4625
700,3.34786,1.44969,1.67284,1.2225,0,311.106,4014008,13.0474,7.5642,9.61808,12.2616,14.1804,5.59728,9.38808,7.9968,10.9385
511,13.5127,0.857143,0.946103,0.7075,6.69988e-14,134.524,16201440,14.6377,12.2418,6.5518,13.1414,16.1086,10.0339,14.5548,5.17888,8.27288
129,21.6731,1.21968,1.16857,1.0375,0,360.405,25985616,6.16249,7.2364,9.50002,4.32432,8.97624,4.34304,9.25704,6.96864,12.119
525,7.74439,1.20905,1.22785,1.0175,0,131.035,9285360,7.03903,5.81241,9.62253,5.39136,8.48952,4.1184,7.59096,8.1872,11.0146
1104,7.04747,0.87795,1.05497,0.7175,2.08107e-17,199.005,8449760,11.7631,16.076,5.36699,10.427,13.207,14.5829,17.9244,4.41728,6.40696
143,21.8509,1.18188,3.14505,0.9775,0,3103.6,26198712,12.5159,10.291,8.00895,9.86544,15.7529,8.38656,12.402,5.40736,11.0337
921,38.5124,0.919284,1.36157,0.7275,0,475.289,46175496,9.09593,16.6406,3.93633,6.94512,11.4098,13.7966,18.3362,0.60928,6.59736
154,10.8666,0.811958,0.824905,0.6675,1.01355e-24,173.48,13028808,11.5672,14.5098,8.65764,10.0901,13.2631,13.0104,16.6889,7.3304,9.89128
549,6.09781,1.61554,1.52631,1.3675,0,474.476,7311144,14.0324,8.90075,8.65355,12.5986,16.1834,7.52544,10.3802,7.25424,10.3102
1515,0.00435037,0.883774,0.677312,0.8275,0.253367,21.1964,5216,15.0345,6.6135,9.81877,14.9386,15.1538,6.4584,6.74856,9.7104,9.9484
358,13.5306,1.70395,1.88735,1.3375,0,455.465,16222896,16.8375,13.3397,8.17275,15.2381,19.1225,11.5315,14.5922,6.664,9.6628
751,8.95707,0.882353,0.880746,0.7375,7.77599e-20,87.6483,10739328,10.3992,16.7099,6.94481,9.0792,12.3646,15.2755,18.2239,5.92144,8.08248
375,7.8374,1.10135,1.29556,0.9675,0,215.262,9396872,9.15364,7.15957,9.77008,7.37568,11.4098,6.15888,8.45208,8.51088,11.3954
184,47.2391,1.04914,1.43114,0.8525,0,1292.51,56638632,5.28744,12.3629,9.88899,3.51936,8.5644,8.74224,15.5657,5.4264,12.633
185,54.1579,0.867029,2.01852,0.6875,0,3300.81,64934096,7.46284,15.1576,10.3913,4.64256,10.53,10.8763,17.9993,6.3784,13.6041
