label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,9.89412,0.992718,0.786118,0.8575,3.28504e-07,111.05,11712200,15.7031,11.2293,5.16532,14.4314,17.8886,9.92868,12.7829,2.93216,6.86392
2,8.98084,0.793314,0.396184,0.7325,0.00630673,84.7264,10631104,14.9261,11.7888,9.17945,13.9416,16.4379,10.0606,13.5365,7.5208,11.0527
3,7.92539,1.45634,0.88623,1.3525,0.0753273,212.275,9381704,15.6454,9.95151,11.5999,14.017,17.3234,8.3838,11.3134,10.3006,13.3185
4,7.79631,0.900577,0.548399,0.7925,0.0123418,94.9468,9228904,15.4264,10.9425,7.2329,14.3372,16.9654,9.81564,12.1424,5.95952,9.05352
5,7.68415,0.710896,0.448678,0.6225,0.00144641,59.5027,9096144,14.8263,12.8647,10.898,13.8286,16.193,10.7388,14.8365,9.82464,12.0428
6,7.31936,1.32859,1.01522,1.2275,0.000150266,256.781,8664320,16.7184,11.5566,14.8879,14.488,18.661,9.7968,13.4423,13.2709,16.7457
7,7.29317,0.923637,0.636211,0.8475,1.64255e-05,69.4767,8633320,17.0896,13.9911,9.08259,15.7502,18.8871,12.0764,15.0626,7.9968,10.215
8,6.99909,0.773753,0.554846,0.7075,7.17622e-06,57.7487,8285192,15.7642,13.2269,6.1066,14.4503,17.4176,11.4736,14.9872,5.10272,6.9972
9,6.4804,0.770317,0.590377,0.6675,1.00708e-05,108.84,7671200,15.1081,10.9175,16.5341,13.659,16.5886,9.72144,12.3119,15.1749,17.9642
10,6.29446,0.982407,0.750749,0.8775,6.74682e-07,106.651,7451088,18.7264,13.3292,7.89017,17.1444,20.1682,11.7373,14.8365,6.64496,9.0916
11,6.05992,1.37206,1.11368,1.2275,5.65242e-05,301.385,7173456,18.2074,7.21136,12.6824,16.4662,19.5088,5.82156,8.82654,11.4621,14.023
12,5.88289,1.0251,0.636842,0.9575,6.57822e-05,69.5737,6963896,16.569,13.6644,10.8436,15.3923,17.9639,11.8127,15.0249,9.996,12.2332
13,5.87796,0.993316,0.687385,0.8575,0.000943649,127.74,6958056,14.8355,12.6696,12.5521,13.8474,16.8901,10.833,14.6104,11.5573,14.6322
14,5.61196,1.44439,1.27589,1.2725,0.000141647,164.371,6643176,18.1004,11.3536,13.3116,15.9198,19.49,9.7968,13.1221,12.1856,14.2514
15,5.47509,1.46609,0.752796,1.3675,0.163358,83.8313,6481160,16.6476,10.5043,9.38442,15.185,17.8697,8.87364,12.5003,8.07296,10.9956
16,5.41354,0.905043,0.856869,0.7975,0,156.418,6408296,20.2963,10.0365,7.48256,18.6893,21.5247,8.44032,11.4076,6.32128,8.4252
17,5.34177,0.850753,0.663651,0.7575,1.47113e-05,107.729,6323336,15.528,12.9486,13.9848,14.2054,17.7567,11.1156,14.309,13.2518,14.8036
18,5.31485,0.993546,0.724229,0.8825,3.41461e-05,105.845,6291472,17.7774,13.7567,5.59421,16.6357,19.1509,11.9446,14.7988,4.22688,6.78776
19,5.20849,1.96613,1.01716,1.8525,0.000380854,94.666,6165568,16.4269,9.63576,15.4763,14.7517,18.0958,7.95048,10.9178,14.4514,16.8218
20,5.16215,0.983133,0.687653,0.8975,1.61761e-05,132.523,6110712,16.2243,13.5415,12.9696,14.2054,18.1335,11.2286,14.6481,11.9952,13.9468
21,5.15155,1.0318,0.801142,0.9275,0.0231891,240.178,6098160,15.0929,9.27839,13.5455,14.017,16.6263,7.42296,10.7671,12.4522,14.9559
22,4.90583,0.407052,0.491746,0.2775,0,25.3548,5807288,17.7783,12.9257,2.6058,16.5604,19.9045,11.7185,14.2336,1.25664,4.10312
23,4.83821,0.795187,0.662624,0.6925,2.3236e-06,51.941,5727248,16.1817,13.3296,4.71312,14.7894,17.6248,11.9822,14.7988,3.75088,5.474
24,4.64118,1.21433,0.875303,1.0875,4.92551e-07,95.0123,5494016,14.9348,9.10157,17.0921,13.6778,16.6263,7.8186,10.2584,16.0126,18.0785
25,4.54346,1.88413,1.10872,1.8325,0.000357024,254.277,5378336,17.4899,10.3779,14.283,16.0328,19.0001,9.1374,11.596,12.852,15.8127
26,4.50041,1.0001,0.689268,0.8725,0.000420046,93.428,5327376,17.3629,11.2071,7.69774,16.2212,18.3973,9.72144,12.3496,6.43552,8.93928
27,4.46745,0.623188,0.471695,0.5175,7.60798e-05,82.7965,5288360,15.364,14.0211,9.09716,14.243,16.4002,13.0938,15.0249,7.9968,10.1769
28,4.39737,0.666075,0.630518,0.5525,2.62068e-06,127.288,5205400,15.167,12.375,15.3246,14.1112,16.2872,10.9272,13.7815,13.9944,16.6505
