id,depo,distance,centroidX,centroidY,centroidZ
m01,1.03134,8.929382431,16.5802,14.6865,10.4448
m01,1.10049,11.58884529,17.4658,15.812,7.92708
m01,0.987355,13.25955397,16.7473,15.695,6.22215
m01,1.2482,9.843839792,17.583,12.6179,9.03442
m01,0.923889,14.809112,17.4859,15.6902,4.60729
m01,1.19401,10.8340731,18.8632,12.7301,7.99486
m01,1.01573,4.471904529,18.566,13.8924,14.7579
m01,0.99844,10.75128074,16.01,13.8366,8.42506
m01,0.744193,14.79158688,20.9516,13.6374,4.05625
m01,1.39585,8.785141387,19.5394,11.4935,9.80321
m01,1.22215,8.390274658,16.7291,12.3323,10.4945
m01,1.25873,8.182623427,20.8623,11.1049,10.2854
m01,1.39557,6.490996832,17.8591,14.9083,12.9348
m01,1.20272,12.70189714,19.1176,15.0091,6.55455
m01,0.987263,12.36384696,17.8884,13.1438,6.55593
m01,1.3921,5.891993487,18.9811,14.1573,13.345
m01,1.17278,14.24232505,15.4954,12.8581,4.66902
m01,1.08016,5.490873733,21.0299,8.65451,12.5156
m01,1.2051,10.354189,20.0064,14.3822,8.78847
m01,1.11835,11.33473814,19.4838,15.0483,7.94655
m01,1.47994,6.835825906,20.8237,12.0205,11.8571
m01,1.32826,10.17000009,17.7446,15.7874,9.36195
m01,0.845114,15.98430169,15.1167,13.3374,3.00338
m01,1.52948,7.574853132,18.8035,11.4214,11.0548
m01,1.27987,7.868578335,20.6597,13.3711,11.0918
m01,1.12602,12.79107508,20.7272,12.9537,5.96703
m01,1.1956,9.839332193,20.7366,11.3853,8.6551
m01,1.21106,12.16491813,16.1833,14.2372,7.05687
m01,0.645696,17.05230615,19.0489,14.8824,2.08144
m01,1.10691,13.43958691,16.1924,13.4133,5.57941
m01,1.46166,7.645562778,17.2591,15.0299,11.8033
m01,0.984586,16.21756879,16.9234,15.2293,3.09199
m01,1.35406,9.853490646,19.2915,15.484,9.56075
m01,1.26106,14.45357423,15.9102,14.8487,4.85582
m01,1.10325,3.969073788,20.4308,8.2373,14.0077
m01,1.09775,12.08123802,20.594,14.1427,6.94862
m01,1.3512,8.325630996,19.1835,13.4196,10.6928
m01,1.80538,7.963094735,18.4814,15.2034,11.4669
m01,1.31989,2.93823458,19.7673,9.40926,15.3349
m01,1.31195,9.357351488,21.0606,12.573,9.38536
m01,1.10985,11.26908602,21.0278,12.5528,7.42728
m01,1.56635,6.722053487,17.7042,11.6365,12.0156
m01,1.29287,4.519208699,18.4527,11.8952,14.2934
m01,1.59799,8.68543944,18.3803,12.0297,10.0638
m01,1.13554,10.44464417,21.4481,11.5086,8.03396
m01,0.777748,13.55507868,21.7566,12.5698,5.06425
m01,1.68677,6.085000061,18.8076,10.8905,12.4665
m01,0.905951,14.47320997,17.6006,13.7542,4.53859
m01,1.33655,6.599822931,20.3576,13.896,12.5118
m01,1.79732,4.256304671,19.8843,12.445,14.6216
m01,1.49614,2.462446608,19.2388,10.9377,16.1642
m01,1.02754,10.87114704,21.9917,10.7133,7.40886
m01,0.947793,14.42331118,19.2935,15.2637,4.84075
m01,0.792568,6.938635568,21.5515,8.06657,10.8906
m01,1.6884,6.492704782,19.6261,10.3384,11.901
m01,1.14725,6.826165731,16.5113,12.1044,12.0547
m01,1.27526,3.05720294,18.809,12.6776,15.9393
m01,0.677313,8.613757388,21.9865,8.76276,9.30692
m01,1.09757,11.79895599,19.5479,12.5554,6.94429
m01,1.49375,5.320594421,20.1936,13.0663,13.6518
m01,0.953158,10.52516499,16.352,15.0622,8.90092
m01,1.02455,13.58264963,18.175,13.5927,5.3927
m01,1.58491,4.653215847,20.6587,11.336,13.9516
m01,0.909445,12.45572194,22.0126,11.6651,5.98794
m01,1.11322,15.55903526,15.5916,14.7774,3.72282
m01,0.592483,16.10301881,20.104,14.2578,2.87913
m01,1.60865,5.767429125,20.8287,12.0445,12.9546
m01,1.19729,9.365851768,20.9533,13.7885,9.63687
m01,1.17034,10.6640325,20.559,13.2666,8.21487
m01,1.57947,9.179984636,18.4726,15.4696,10.2788
m01,1.13394,6.952587412,21.1224,9.09771,11.1104
m01,1.71001,4.541809847,20.2299,9.52944,13.702
m01,1.44863,8.248436252,19.5622,15.1162,11.1141
m01,1.85105,3.400491169,19.5379,11.4464,15.3002
m01,1.32643,5.753438796,18.4248,11.7724,13.0064
m01,1.03528,13.14468229,19.2127,13.1898,5.71484
m01,1.61117,6.602628628,20.2907,9.85037,11.6596
m01,1.17927,8.929709337,20.2675,14.6012,10.2811
